modelo,accuracy_train,accuracy_test,recall_test,f1_macro_test
Regresión Logística,0.7964169381107492,0.7077922077922078,0.5,0.6650717703349283
Random Forest,1.0,0.7467532467532467,0.5555555555555556,0.7097288676236044
Random Forest (tuneado),0.8517915309446255,0.7532467532467533,0.7407407407407407,0.7389830508474576
